feature,importance
base_emb_199,0.002291717150151582
catalyst_emb_667,0.002261657899738797
solvent_1_emb_142,0.002247251679611036
catalyst_emb_251,0.0021592998323008835
catalyst_emb_594,0.0021584914223395637
solvent_1_emb_158,0.002130453099407812
base_emb_580,0.0021271682154507415
catalyst_emb_623,0.0021117706263465534
base_emb_209,0.002095730829666442
base_emb_604,0.0020682805475308484
product_1_smiles_emb_361,0.0020450996987701484
product_1_smiles_emb_351,0.002042483910934353
solvent_1_emb_541,0.0020378173844042007
base_emb_552,0.0020258258725556954
base_emb_217,0.002013428304703481
solvent_1_emb_202,0.0020002482412126406
solvent_1_emb_538,0.0019863961589325517
base_emb_162,0.0019285760442009138
base_emb_214,0.001920539486653412
base_emb_287,0.0018929325495144682
solvent_1_emb_537,0.0018859216535809422
base_emb_581,0.0018824504982517286
base_emb_618,0.0018360398947529148
catalyst_emb_263,0.0018209503548530766
catalyst_emb_624,0.001788819322536529
catalyst_emb_279,0.00178409083544535
catalyst_emb_599,0.0017624506223954607
product_1_smiles_emb_733,0.0017599441423418538
catalyst_emb_247,0.001738739406819935
startingmat_2_smiles_emb_318,0.0017240921640066709
solvent_1_emb_174,0.0017184075747992721
solvent_1_emb_562,0.0016992652686436023
product_1_smiles_emb_718,0.0016849638748738045
catalyst_emb_271,0.0016788338710673274
base_emb_227,0.0016772057501618597
catalyst_emb_266,0.0016707575652353936
solvent_1_emb_198,0.0016668458664203898
catalyst_emb_192,0.0016654948144387582
catalyst_emb_254,0.0016519589648333432
startingmat_2_smiles_emb_287,0.0016317684925203056
catalyst_emb_252,0.0016080754949084782
product_1_smiles_emb_241,0.0015886505667598234
catalyst_emb_602,0.0015685475796414431
catalyst_emb_626,0.0015540820293538308
catalyst_emb_257,0.001543403574803309
base_emb_596,0.0015261554497609114
catalyst_emb_90,0.0014728975223127915
catalyst_emb_621,0.0014674238523107743
catalyst_emb_615,0.001463293732775925
product_1_smiles_emb_374,0.0014579443735850245
startingmat_1_smiles_emb_676,0.001457732577579251
product_1_smiles_emb_744,0.0014507451604117746
catalyst_emb_218,0.0014473786365959927
catalyst_emb_270,0.0014255574129763118
product_1_smiles_emb_373,0.0014225494030985458
catalyst_emb_765,0.001419831321883697
product_1_smiles_emb_365,0.0013933804947725888
product_1_smiles_emb_2,0.0013880700070657286
catalyst_emb_636,0.001367641824424224
catalyst_emb_300,0.0013421008238530966
solvent_1_emb_599,0.0013405726581923038
catalyst_emb_580,0.001334466133151876
catalyst_emb_384,0.0013243335355564365
base_emb_611,0.0013173349148283971
startingmat_2_smiles_emb_657,0.0013134400700653707
catalyst_emb_240,0.0012990808074697083
catalyst_emb_269,0.001264230914560186
catalyst_emb_566,0.0012634145159730738
base_emb_208,0.0012604173199668078
catalyst_emb_634,0.0012591091337821128
catalyst_emb_209,0.0012583247871204373
base_emb_724,0.001246574785068764
base_emb_575,0.0012417256892125676
startingmat_1_smiles_emb_306,0.00124094553170832
base_emb_610,0.001231257374489301
solvent_1_emb_539,0.0012270272997097766
catalyst_emb_281,0.001221112891377438
base_emb_574,0.0012023042564820138
catalyst_emb_151,0.0011874746391872372
startingmat_1_smiles_emb_681,0.0011748408223405421
catalyst_emb_671,0.0011745884012499446
solvent_1_emb_546,0.0011643410402254334
catalyst_emb_336,0.0011638975740716703
catalyst_emb_550,0.0011595366611892232
catalyst_emb_430,0.001157808682461346
catalyst_emb_657,0.0011545895585336672
solvent_1_emb_548,0.0011516071707117974
product_1_smiles_emb_394,0.0011431715715637214
catalyst_emb_637,0.0011415405279902808
base_emb_198,0.0011402535798595225
catalyst_emb_591,0.0011400216174447357
product_1_smiles_emb_359,0.0011393728825770054
solvent_1_emb_596,0.00113917930453493
product_1_smiles_emb_727,0.0011358678242993055
base_emb_204,0.0011244298657648781
product_1_smiles_emb_355,0.0011014130760997267
catalyst_emb_307,0.001097021280359032
base_emb_213,0.0010915079594948486
product_1_smiles_emb_357,0.001087802016505141
catalyst_emb_256,0.0010863891013847486
startingmat_1_smiles_emb_689,0.0010759774864201573
solvent_1_emb_542,0.001074373623658865
catalyst_emb_619,0.0010727669356518656
catalyst_emb_597,0.0010706332906093422
solvent_1_emb_531,0.0010613220601365689
startingmat_2_smiles_emb_158,0.00105557122378845
base_emb_211,0.0010520622686201193
catalyst_emb_137,0.0010479710205693103
base_emb_579,0.001047898538403581
startingmat_1_smiles_emb_322,0.0010287150226294926
catalyst_emb_625,0.0010103847310589755
catalyst_emb_400,0.0010085944995032743
